"","V1"
"1",""
"2"," Vielen Dank, Svenja Stadler."
"3"," - Nächste Rednerin für die AfD-Fraktion:"
"4"," Nicole Höchst."
"5"," Nicole Höchst:"
"6","Frau Präsidentin! Werte Kollegen! Frau Ministerin! Sehr verehrte freiwillige und ehrenamtlich tätige Männer, Frauen, Junge und Alte, Ihnen gebührt unser größter Dank und Respekt."
"7"," Ihr Engagement ist zugleich Dienst an der Gesellschaft und betrifft viele Bereiche, wie zum Beispiel Naturschutz, Pflege, Internationales, Kultur."
"8"," Menschen, die sich freiwillig durch Dienste an der Gesellschaft einbringen oder ehrenamtlich tätig sind, sind helle, wärmende Lichter der Gegenwart."
"9"," Dies gilt besonders in einem Zeitalter, in welchem Digitalisierung Menschen vereinsamen lässt, zu Konsumüberfluss und Oberflächlichkeit verführt und ideologische Fehlwege unsereNicole HöchstGesellschaft täglich rücksichtsloser, undemokratischer, globaler und ungerechter machen."
"10","Die AfD möchte die Werte des Christentums, der Antike, des Humanismus und der Aufklärung erhalten."
"11"," Dazu gehören auch Bräuche und Traditionen, Dienst an der Gesellschaft, persönliches Engagement im Ehrenamt und den Freiwilligendiensten."
"12"," Unser erklärter Wille ist es, Freiwilligendienste zu stärken, zu entbürokratisieren, die persönlich bereichernde Lebenserfahrung des Dienstes an der Gesellschaft möglichst vielen zugänglich zu machen."
"13"," Denn seien wir ehrlich:"
"14"," So, wie das im Moment ausgestaltet ist und in der Natur der Sache liegt, sind Freiwilligendienste eine ziemlich exklusive Veranstaltung."
"15","Der vorliegende Gesetzentwurf der Bundesregierung leistet einen begrüßenswerten, wenn auch sehr geringen Beitrag dazu."
"16"," Die Frage ist doch:"
"17"," Wie viele Menschen, in absoluten Zahlen oder im Proporz, sind überhaupt vom Teilzeitwunsch betroffen? Der Verdacht liegt nahe, dass sich die Regierung hier genauso wie bei unzähligen anderen Gesetzesvorhaben im Klein-Klein verliert, um auch hier signalisieren zu können:"
"18"," Seht her, wir tun etwas, wir stärken Freiwilligendienste."
"19"," Und in Wahrheit betrifft es wie viele Personen?Den Beweis, dass wir wirklich deutlich mehr Menschen zu Freiwilligendiensten bewegen können, tritt die Regierung in diesem Gesetzentwurf nicht an; denn die Begründung ist frei von Zahlen, die die Notwendigkeit eindeutig belegen."
"20"," Die Regierung möchte auch gar nicht wissen, ob dieses Gesetz wirksam und gut für Deutschland ist; denn eine Evaluierung ist erst gar nicht geplant."
"21"," Ein regelmäßiger Erfahrungsaustausch soll es dann richten."
"22","Das sehen wir von der AfD anders, wir möchten wenigstens Jährlich einen Bericht über die Wirksamkeit und die Entwicklung in diesem Bereich bekommen."
"23"," Darüber hinaus muss man einfach einmal zur Kenntnis nehmen, dass dieser Gesetzentwurf der verzweifelte Versuch ist, zusätzliche Potenziale für den Freiwilligendienst an der Gesellschaft zu heben."
"24"," Denn dieser Dienst an der Gesellschaft fehlt spürbar und in allen Bereichen."
"25"," Geben Sie doch bitte endlich zu, dass die Abschaffung des Wehr- und Ersatzdienstes ein Riesenfehler war! Gerade junge Menschen in diesem Land sind bereit, sich für die Gesellschaft und ihre Zukunft zu engagieren — wie ja auch die Freitagsdemos zeigen — und die Solidarität, die sie einfordern, auch zu leben."
"26"," Sie engagieren sich für ein Miteinander, für gelebte Demokratie in Vereinen, Institutionen, Elternhäusern, Schulen, Universitäten, in Freiwilligendiensten und Ehrenamt."
"27"," Die Bereitschaft zum Einsatz für Heimat, Natur, Kultur und Gesellschaft war nie größer als heute."
"28"," Ermöglichen wir zukünftig großflächig und ganz unbürokratisch allen Menschen diesen Einsatz, nicht nur denjenigen, die sich Engagement im Rahmen von Freiwilligendiensten und Ehrenamt leisten können!Vielen Dank.
Vizepräsidentin Claudia "
