"","V1"
"1",""
"2"," Vielen Dank, Herr Kollege."
"3"," — Als nächster Redner hat das Wort der Kollege Markus Frohnmaier, AfD-Fraktion."
"4"," Markus Frohnmaier:"
"5","Herr Präsident! Meine Damen und Herren! Eines vorweg:"
"6"," Die Doppelbezeichnung „Sinti und Roma“ ist ein Kunstbegriff, der von Interessenverbänden in den 80er-Jahren kreiert wurde."
"7"," Die Unterschiede zwischen Sinti und Roma sind so groß, dass auf der Sitzung des Beratenden Ausschusses für Fragen der deutschen Sinti und Roma im November 2018 die Vertreter der Sinti die Auflösung der Doppelbezeichnung gefordert haben."
"8"," Die immer wieder verwendete Bezeichnung „Sinti und Roma“ ist irreführend."
"9"," Sie erweckt den Eindruck, die seit über 600 Jahren in Deutschland lebenden Sinti seien Asylsuchende, Ausländer, Bürger zweiter Klasse, die um ein Bleiberecht bitten müssten."
"10"," Die Sinti machen zu Recht geltend, dass es sich bei ihnen um eine alteingesessene Minderheit hier in Deutschland handelt."
"11"," Wie lange müssen die Sinti also noch in Deutschland leben, bis sie von Ihnen akzeptiert werden? Sinti kom Markus Frohnmaiermen weder aus Bosnien, Serbien, Rumänien noch aus Bulgarien."
"12"," In diesen Ländern gibt es keine Sinti."
"13"," Wenn Sie aber heute alles in einen Topf werfen und über Antiziganismus sprechen, dann sollten Sie auch korrekterweise von — so formuliert es die Sinti Allianz Deutschland — „Zorn auf uns Zigeuner“ sprechen."
"14"," Als Freund der Zigeuner sage ich:"
"15"," Das ist kein Schmähbegriff, sondern Alltagssprache."
"16"," Viele Sinti sind nicht damit einverstanden, dass diese Bezeichnung ein mit Klischees und Vorurteilen belastetes Schimpf- und Schmähwort ist."
"17"," Ich zitiere die Literaturnobelpreisträgerin Herta Müller:"
"18","Ich bin mit dem Wort „Roma“ nach Rumänien gefahren, habe es in den Gesprächen anfangs benutzt und bin damit überall auf Unverständnis gestoßen."
"19","Sie müssen endlich eines lernen:"
"20"," Mit dem Gebrauch vermeintlich politisch korrekter Begriffe stellt sich nicht unmittelbar Respekt ein."
"21"," Und die Diskriminierung wird nicht dadurch geringer, dass man die Bezeichnung „Sinti und Roma“ benutzt."
"22"," Gerade wer sich den Angehörigen dieser Gruppen verbunden fühlt, kommt nicht umhin, den Antrag, den Sie vorgelegt haben, abzulehnen; denn er zeichnet ein Bild, das vollkommen falsch ist."
"23"," Aus jeder Zeile atmet dieser Antrag einen unfreiheitlichen Geist."
"24"," Sie stempeln mit Ihrem Antrag alle Angehörigen dieser Gruppe pauschal als potenzielle Opfer ab."
"25"," Diese Gruppe ist aus Ihrer Sicht so schwach, verletzlich und hilfsbedürftig, dass es nicht ohne ein ganzes Maßnahmenpaket geht."
"26","Staatliche und sogenannte zivilgesellschaftliche Institutionen sollen sich gegen Antiziganismus engagieren."
"27"," Auf europäischer Ebene soll Antiziganismus ebenfalls mit höchster Dringlichkeit geächtet werden, ganz so, als ob von Lissabon bis Helsinki jeder dieser Gruppe um sein Leben fürchten müsste."
"28"," Und natürlich soll auch ein Expertengremium eingesetzt werden, ein Gremium, das alle Erscheinungsformen des Antiziganismus systematisch untersuchen und bis 2021 dem Bundestag Bericht erstatten soll."
"29","Die Kritik der Sinti an diesem Expertengremium haben Sie dabei geflissentlich ignoriert."
"30"," Zur Erinnerung — ich zitiere mit Erlaubnis des Präsidenten —:"
"31"," „Mittlerweile werden genügend öffentliche Gelder für Personen und Institutionen vergeudet, die sich der Antiziganismusforschung verschrieben haben."
"32"," Eine weitere Expertenkommission ist nach unserer Meinung absolut überflüssig."
"33","“ — Zitatende."
"34","Die Sinti befürchten sogar - ich zitiere —:"
"35"," „Eine Expertenkommission bzw."
"36"," die immer zahlreicher werdenden Antiziganismusexperten könnten, so zeigen die bisherigen Erfahrungen, kaum dazu beitragen, Antiziganismus abzubauen."
"37"," Vielleicht bewirken sie sogar das Gegenteil."
"38","“ — Zitatende."
"39","Spätestens jetzt müsste Ihnen klar sein:"
"40"," Nicht jeder Mensch sieht sich als Opfer."
"41"," Einige Angehörige dieser Gruppe empfinden die pauschale Zuschreibung eines Opferstatus geradezu als beleidigende Bevormundung."
"42"," So schreibt die Sinti Allianz Deutschland - Zitat -:"
"43"," „Der unaufhörlich drängende Ruf nach Antiziganismusforschung ist darauf ausgerichtet, uns Sinti in eine fortwährende Opferrolle zu drängen und dort zu halten, weil sich damit offenbar Politik und Geld machen lässt."
"44","“ — Zitatende."
"45","Schließlich — das betrifft alle Bürger — fordern Sie in Ihrem Antrag auch, und zwar vollkommen schwammig, mehr Engagement gegen Hass im Internet."
"46"," Das kennen wir schon von Heiko Maas und seinem Zensurgesetz."
"47"," Dabei ist Ihr Maßstab nicht einmal mehr das Strafgesetzbuch, sondern das, was irgendeine Kommission empfiehlt."
"48"," Sie missbrauchen die Zigeuner jetzt also auch noch dazu, um die freie Rede in Deutschland weiter einzuschränken."
"49"," Deshalb bleibt uns als freiheitliche Partei und als Freund dieser Gruppe nichts anderes übrig,als Ihren Antrag kategorisch abzulehnen."
"50"," Vielen Dank.
Vizepräsident Wolfgang "
