"","V1"
"1",""
"2"," Vielen Dank."
"3"," — Nächster Redner ist für die Fraktion der FDP der Kollege Konstantin Kuhle."
"4"," Konstantin Kuhle:"
"5","Herr Präsident! Meine Damen und Herren! Heute jährt sich der Anschlag am Berliner Breitscheidplatz zum dritten Mal, und wir danken dem Herrn Bundestagspräsidenten, dass er heute der Opfer gedacht hat."
"6"," Es ist aber nicht nur der dritte Jahrestag des Anschlags am Berliner Breitscheidplatz; ich erinnere auch an die schreckliche Mordserie des sogenannten Nationalsozialistischen Untergrundes."
"7"," Es ist jetzt ungefähr acht Jahre her seit ihrer Entdeckung."
"8","Ich glaube, dass manche hier im Haus immer noch zwei Fragen unterschätzen, die sich viele Opfer und viele Hinterbliebene stellen."
"9"," Das ist die Frage:"
"10"," Wie konnte das passieren? Und es ist die Frage:"
"11"," Wie können wir verhindern, dass so etwas in Zukunft wieder passiert?Wer die zweite Frage mit einer Stärkung unserer Sicherheitsbehörden beantworten will, der kann das auf drei Arten tun."
"12"," Er kann die Sicherheitsbehörden mit mehr Personal und finanziellen Mitteln ausstatten."
"13"," Ich glaube, da gibt es einen breiten Konsens im Haus."
"14","Er kann die Sicherheitsbehörden in ihren Befugnissen stärken."
"15"," Auch darüber wird hier regelmäßig diskutiert."
"16","Und der dritte Weg:"
"17"," Er kann die Sicherheitsbehörden strukturell stärken."
"18"," Wer sich immer noch einer strukturellen Reform der Sicherheitsbehörden auch beim Thema Föderalismus verweigert, der nimmt die Sorgen und die offenen Fragen auch der Opfer dieser beiden terroristischen Ereignisse nicht ernst."
"19"," Deswegen legen wir Ihnen heute ein Konzept vor, mit dem wir in eine Reform des Sicherheitsföderalismus in Deutschland einsteigen wollen."
"20","Meine Damen und Herren, es ist spannend, zu beobachten, aus welchen unterschiedlichen Gründen die beiden Koalitionsfraktionen heute gegen unseren Antrag stimmen werden."
"21"," Auf der einen Seite ist die CDU/CSU, Herr Schuster."
"22"," Sie werden heute gegen den Antrag für eine Föderalismusreform im Bereich der inneren Sicherheit stimmen."
"23"," Aber Sie tun das wenigstens mit schlechtem Gewissen, weil Sie eigentlich wissen, dass wir eine Reform der Sicherheitsarchitektur im Bereich des Föderalismus brauchen."
"24","Dagegen wird die SPD — und das ist das eigentlich Schlimme an der Sache - aus voller innerer Überzeugung gegen diesen Antrag stimmen."
"25"," Meine Damen und Herren, das versteht draußen kein Mensch."
"26","Dass wir nach dem NSU und nach dem Anschlag auf dem Breitscheidplatz immer noch 16 Landesämter für Verfassungsschutz haben, dass die Daten an verschiedenen Stellen gesammelt, aber nicht miteinander geteilt werden, dass es keine gesetzliche Grundlage für das Gemeinsame Terrorismusabwehrzentrum gibt, dass Sie immer noch nicht die Lehren daraus gezogen haben, was da passiert ist, und dass Sie das auch noch im Brustton der Überzeugung als eine Verteidigung der deutschen Sicherheitsarchitektur darstellen, das ist wirklich schwach."
"27"," Da hätte ich mir mehr gewünscht."
"28"," Ich darf kurz aus den Beschlüssen der aktuellen Innenministerkonferenz vom 4."
"29"," bis 6."
"30"," Dezember 2019 zitieren."
"31"," Die Innenministerkonferenz hat beschlossen:"
"32"," „Stärkung der Zentralstelle in den Bereichen Analysekapazitäten“ usw."
"33"," zur Bekämpfung des Rechtsextremismus, „Aufbau einer Zentralstelle im Bundesamt für Verfassungsschutz zur Erfassung von Rechtsextremisten im öffentlichen Dienst“ Beim Thema „Mobilisierung über das Internet“:"
"34"," Konzept für eine „Ausdehnung des Aufgabenbereichs der im BKA eingerichteten Serviceund Clearingstelle auf eine Zentralstellenfunktion“Die Innenminister machen das also längst."
"35"," Fernab von dem, was hier im Deutschen Bundestag beschlossen wird, werden am lauschigen Kaminfeuer der Innenministerkonferenz die Befugnisse und Kompetenzen hin und her geschoben, und der Deutsche Bundestag hat rein gar nichts damit zu tun."
"36"," Das ist nicht unser Verständnis von Innenpolitik."
"37","Es braucht einen großen Wurf:"
"38"," mehr programmatische Kreativität, mehr politisches Engagement für eine Reform der Sicherheitsarchitektur."
"39"," Deswegen:"
"40"," Stimmen Sie unserem Antrag heute zu!Vielen Dank.
Vizepräsident Thomas "
