"","V1"
"1",""
"2","Vielen Dank, Herr Kollege Reusch."
"3"," — Der nächste Redner:"
"4"," für die CDU/CSU-Fraktion der Kollege Marian Wendt."
"5"," Marian Wendt:"
"6","Sehr geehrter Herr Präsident! Liebe Kolleginnen und Kollegen! Heute ist es etwas Besonderes für mich, vor Ihnen zum Thema Sicherheit zu sprechen."
"7"," Heute, am 19."
"8"," Dezember, halten wir inne und gedenken."
"9"," Wir erinnern uns:"
"10"," Ein Terrorist fuhr mit einem Lkw mitten in einen Weihnachtsmarkt."
"11"," Bei diesem feigen Terroranschlag wurden zwölf unschuldige Menschen getötet und zahlreiche weitere Menschen verletzt."
"12"," Es geschah unweit von hier, im Herzen unserer Hauptstadt auf dem Breitscheidplatz."
"13","Die AfD will diesen dritten Jahrestag nun nutzen, um auf vermeintliche Defizite der inneren Sicherheit hinzuweisen."
"14"," Sie behauptet in ihren drei Gesetzentwürfen, die innere Sicherheit stärken zu wollen, macht aber genau das Gegenteil."
"15"," An einem solchen Jahrestag ist es aus meiner Sicht doppelt und dreifach wichtig, diese fadenscheinigen Vorhaben der AfD zu entzaubern."
"16"," Sie wollen den Jahrestag missbrauchen."
"17"," Aber nicht mit uns! Sie befördern nicht die innere Sicherheit, sondern behindern sie sogar."
"18"," Nehmen wir Ihre eingebrachten Gesetzentwürfe deshalb einmal genauer unter die Lupe:"
"19","Zum Ersten beabsichtigen Sie die Änderung des Rechtsextremismus-Datei-Gesetzes."
"20"," Das Gesetz, meine Damen und Herren, regelt die Einrichtung einer zentralen Datei von Polizeibehörden und Nachrichtendiensten auf Bund- und Länderebene."
"21"," Ziel ist die Bekämpfung des gewaltbezog Rechtsextremi Die Sicherheitsbehörden verpflichten sich dabei, relevante Informationen zu gewaltbereiten Rechtsextremisten zu speichern."
"22"," Das ermöglicht den sofortigen Zugriff durch andere teilnehmende Behörden."
"23"," Dadurch wurde und wird der Informationsaustausch seit 2012 maßgeblich verbessert und der Rechtsextremismus bekämpft."
"24"," Mit den von Horst Seehofer vorgestern vorgestellten Maßnahmen bekämpfen wir den Rechtsextremismus noch effektiver."
"25"," Dass diese Bekämpfung des Rechtsextremismus bitter nötig ist, zeigt auch der aktuelle Fall Ihres Kollegen, unseres Kollegen Lars Herrmann, der Ihre Partei nämlich verlassen hat, weil sie durch den Flügel offen mit Rechtsextremisten sympathisiert."
"26"," Ja, wir haben wieder einmal im Blick:"
"27"," Wir haben ein Problem mit Rechtsextremismus, und das sitzt genau hier im Bundestag."
"28"," Im vorgelegten Gesetzentwurf fordert die AfD, dass das besagte Gesetz dahin gehend geändert wird, dass das genannte Verfahren auch auf Bereiche des links und religiös motivierten Extremismus auszuweiten ist."
"29"," Meine Damen und Herren, die Idee ist zunächst scheinbar nachvollziehbar und konsequent."
"30"," Aber:"
"31"," Ihre naiven Forderungen und Ihr handwerklich mehr als schlecht gemachter Gesetzentwurf würden in der Praxis nur zu Chaos und Unsicherheit führen."
"32"," Juristisch sind Ihre Forderungen nicht haltbar."
"33"," — Bleiben Sie ganz ruhig."
"34"," Sie wollen zum Beispiel das Trennungsgebot betreffend Nachrichten- und Polizeidienste vollkommen über Bord werfen, ohne Änderung der Verfassung."
"35"," Denn einen entsprechenden Gesetzentwurf zur Änderung der Verfassung habe ich bei Ihnen nicht gesehen."
"36"," Wie soll das in unserem Rechtsstaat gehen? Aber vielleicht lassen Sie sich zu Weihnachten mal ein Grundgesetz schenken."
"37","Studieren Sie es! Es täte Ihnen gut."
"38"," Wir reden im nächsten Jahr noch einmal darüber."
"39","Die Wahrheit ist:"
"40"," Ihr Gesetzentwurf würde den Sicherheitsföderalismus auf den Kopf stellen und handlungsunfähig machen."
"41"," Er würde die innere Sicherheit in Gefahr bringen."
