"","V1"
"1",""
"2","Vielen Dank."
"3"," — Inzwischen liegt das von den Schriftführerinnen und Schriftführern ermittelte Ergebnis der namentlichen Abstimmung über die Beschlussempfehlung des Ausschusses für Inneres und Heimat, 4."
"4"," Ausschuss, zum Antrag der Abgeordneten Beatrix von Storch, Marc Bernhard und Stephan Brandner sowie weiterer Abgeordneter der Fraktion der AfD zum Verbot der Hisbollah vor:"
"5"," abgegebene Stimmen 649."
"6"," Mit Ja haben gestimmt 569, mit Nein haben gestimmt 77, Enthaltungen 3."
"7"," Damit ist die Beschlussempfehlung angenommen und der Antrag der AfD abgelehnt."
"8","Dr."
"9"," Heribert Hirte Alexander Hoffmann Karl HolmeierDr."
"10"," Hendrik Hoppenstedt Erich Irlstorfer Thomas Jarzombek Andreas Jung Ingmar JungAlois KarlAnja Karliczek Torbjörn Kartes Volker KauderDr."
"11"," Stefan Kaufmann Ronja Kemmer Roderich Kiesewetter Michael KießlingDr."
"12"," Georg Kippels Volkmar KleinAxel KnoerigJens Koeppen Markus Koob Carsten Körber Alexander Krauß Gunther Krichbaum Dr."
"13"," Günter Krings Rüdiger Kruse Michael KufferDr."
"14"," Roy KühneDr."
"15"," Dr."
"16"," h."
"17"," c."
"18"," Karl A."
"19"," Lamers Andreas G."
"20"," Lämmel Katharina Landgraf Ulrich LangeDr."
"21"," Silke Launert Jens LehmannPaul LehriederDr."
"22"," Katja LeikertDr."
"23"," Andreas Lenz Antje LeziusAndrea LindholzDr."
"24"," Carsten Linnemann Patricia LipsNikolas LöbelBernhard LoosDr."
"25"," Jan-Marco LuczakDaniela LudwigDr."
"26"," Saskia LudwigKarin MaagYvonne MagwasDr."
"27"," Thomas de MaiziereGisela ManderlaDr."
"28"," Astrid MannesMatern von MarschallAndreas MattfeldtStephan MayerDr."
"29"," Michael MeisterJan MetzlerDr."
"30"," h."
"31"," c."
"32"," Hans MichelbachDr."
"33"," Mathias MiddelbergDietrich MonstadtKarsten MöringElisabeth MotschmannAxel MüllerSepp MüllerCarsten MüllerStefan Müller Petra Nicolaisen Michaela NollDr."
"34"," Georg Nüßlein Wilfried Oellers Florian OßnerJosef Oster Henning OtteIngrid Pahlmann Sylvia Pantel Martin PatzeltDr."
"35"," Joachim Pfeiffer Stephan Pilsinger Dr."
"36"," Christoph Ploß Eckhard Pols Thomas Rachel Kerstin RadomskiAlexander RadwanAlois RainerDr."
"37"," Peter RamsauerEckhardt RehbergLothar RiebsamenJosef RiefJohannes RöringDr."
"38"," Norbert RöttgenStefan RouenhoffErwin RüddelAlbert RupprechtStefan SauerDr."
"39"," Wolfgang SchäubleAndreas ScheuerJana SchimkeTankred SchipanskiDr."
"40"," Claudia SchmidtkePatrick SchniederNadine SchönFelix SchreinerDr."
"41"," Klaus-Peter SchulzeUwe SchummerArmin SchusterTorsten Schweiger Detlef SeifJohannes Selle Reinhold SendkerDr."
"42"," Patrick Sensburg Thomas Silberhorn Björn SimonTino SorgeJens SpahnKatrin StafflerFrank SteffelDr."
"43"," Wolfgang Stefinger Albert Stegemann Andreas SteierPeter Stein Sebastian Steineke Johannes Steiniger Christian Frhr."
"44"," von Stetten Dieter StierGero Storjohann Stephan StrackeMax Straubinger Karin StrenzDr."
"45"," Peter TauberDr."
"46"," Hermann-Josef Tebroke Hans-Jürgen Thies Alexander ThromDr."
"47"," Dietlind Tiemann Antje Tillmann Markus UhlDr."
"48"," Volker Ullrich Kerstin Vieregge Volkmar VogelChristoph de VriesKees de VriesDr."
"49"," Johann David Wadephul Marco WanderwitzNina WarkenKai WegnerMarcus WeinbergDr."
"50"," Anja Weisgerber Peter Weiß Sabine Weiss Ingo Wellenreuther Marian Wendt Kai Whittaker Annette Widmann-Mauz Bettina Margarethe Wiesmann Klaus-Peter Willsch Elisabeth WinkelmeierBeckerOliver WittkeEmmi ZeulnerPaul ZiemiakDr."
"51"," Matthias ZimmerSPDNiels AnnenIngrid Arndt-Brauer Heike Baehrens Ulrike Bahr Nezahat Baradari Doris BarnettDr."
"52"," Matthias Bartke Sören BartolBärbel BasLothar BindingDr."
"53"," Eberhard Brecht Leni Breymaier Katrin BuddeDr."
"54"," Lars Castellucci Bernhard Daldrup Dr."
"55"," Karamba Diaby Esther Dilcher Sabine DittmarDr."
"56"," Wiebke Esdar Saskia Esken Yasmin FahimiDr."
"57"," Johannes Fechner Dr."
"58"," Fritz Felgentreu Dr."
"59"," Edgar Franke Ulrich Freese Dagmar Freitag Martin Gerster Angelika Glöckner Timon Gremmels Kerstin GrieseUli Grötsch Bettina Hagedorn Rita Hagl-Kehl Metin Hakverdi Sebastian Hartmann Dirk Heidenblut Hubertus Heil Marcus Held Wolfgang Hellmich Gustav Herzog Gabriele Hiller-Ohm Dr."
"60"," Eva Högl Frank Junge Thomas Jurk Oliver Kaczmarek Johannes Kahrs Elisabeth Kaiser Ralf Kapschack Gabriele Katzmarek Cansel Kiziltepe Arno Klare Lars Klingbeil Dr."
"61"," Bärbel Kofler Daniela Kolbe Elvan Korkmaz-Emre Anette Kramme Christine Lambrecht Christian Lange Dr."
"62"," Karl Lauterbach Sylvia Lehmann Helge Lindh Kirsten Lühmann Heiko Maas Isabel Mackensen Caren Marks Katja Mast Christoph Matschie Hilde Mattheis Dr."
"63"," Matthias Miersch Klaus Mindrup Susanne Mittag Falko Mohrs Claudia Moll Siemtje Möller Bettina Müller Detlef Müller Michelle Müntefering Dr."
"64"," Rolf Mützenich Dietmar Nietan Ulli Nissen Thomas Oppermann Josephine Ortleb Mahmut Özdemir Aydan Ozoguz Markus Paschke Christian PetryDetlev PilgerSabine Poschmann Florian PostFlorian PronoldDr."
"65"," Sascha Raabe Martin Rabanus Andreas RimkusSönke RixDennis RohdeDr."
"66"," Martin Rosemann Rene RöspelDr."
"67"," Ernst Dieter Rossmann Michael Roth Susann RüthrichBernd RützelSarah Ryglewski Johann SaathoffAxel Schäfer Dr."
"68"," Nina Scheer Marianne Schieder Udo SchiefnerDr."
"69"," Nils SchmidUwe SchmidtUlla Schmidt Dagmar Schmidt Carsten Schneider Johannes Schraps Michael Schrodi Ursula SchulteSwen Schulz Frank SchwabeStefan SchwartzeRita Schwarzelühr-Sutter Rainer SpieringSvenja StadlerMartina Stamm-Fibich Sonja Amalie Steffen Mathias SteinKerstin TackClaudia Tausend Michael ThewsMarkus TönsCarsten TrägerUte VogtMarja-Lüsa Völlers Dirk VöpelDr."
"70"," Joe Weingarten Bernd WestphalDirk WieseGülistan Yüksel Dagmar ZieglerStefan ZierkeDr."
"71"," Jens ZimmermannFDP Grigorios AggelidisRenata Alt Christine AschenbergDugnusJens BeeckDr."
"72"," Jens BrandenburgMario BrandenburgSandra Bubendorfer-LichtDr."
"73"," Marco BuschmannKarlheinz BusenCarl-Julius CronenbergBritta Katharina DasslerBijan Djir-SaraiChristian DürrHartmut EbbingDr."
"74"," Marcus FaberOtto FrickeThomas HackerReginald HankePeter HeidtKatrin Helling-PlahrMarkus HerbrandTorsten HerbstKatja HesselDr."
"75"," Gero Clemens HockerManuel HöferlinDr."
"76"," Christoph HoffmannReinhard HoubenUlla IhnenOlaf In der BeekGyde JensenDr."
"77"," Christian JungKarsten KleinDaniela KluckertPascal KoberDr."
"78"," Lukas KöhlerWolfgang KubickiKonstantin KuhleAlexander KulitzAlexander Graf LambsdorffUlrich LechteChristian LindnerMichael Georg LinkOliver LuksicTill MansmannDr."
"79"," Jürgen MartensChristoph MeyerAlexander MüllerFrank Müller-RosentrittDr."
"80"," Martin NeumannHagen ReinholdBernd ReutherDr."
"81"," Stefan RuppertDr."
"82"," h."
"83"," c."
"84"," Thomas SattelbergerChristian SauterFrank SchäfflerDr."
"85"," Wieland Schinnenburg Matthias Seestern-Pauly Frank SittaJudith SkudelnyBettina Stark-Watzinger Benjamin Strasser Katja SudingLinda Teuteberg Michael Theurer Stephan Thomae Manfred Todtenhausen Dr."
"86"," Florian ToncarDr."
"87"," Andrew Ullmann Gerald Ullrich Johannes Vogel Sandra WeeserNicole Westig Katharina WillkommDIE LINKEDoris Achelwilm Gökay Akbulut Simone Barrientos Dr."
"88"," Dietmar Bartsch Lorenz Gösta Beutin Matthias W."
"89"," Birkwald Heidrun Bluhm-Förster Michel BrandtDr."
"90"," Birke Bull-Bischoff Jörg CezanneFabio De MasiDr."
"91"," Diether Dehm Anke Domscheit-Berg Klaus ErnstSusanne Ferschl Brigitte FreiholdDr."
"92"," Gregor GysiDr."
"93"," André Hahn Heike Hansel Matthias Höhn Andrej HunkoUlla JelpkeKerstin KassnerDr."
"94"," Achim Kessler Katja KippingJan KorteJutta Krellmann Caren LaySabine LeidigRalph LenkertStefan LiebichDr."
"95"," Gesine Lötzsch Thomas LutzePascal MeiserAmira Mohamed Ali Cornelia Möhring Norbert Müller Zaklin NasticDr."
