"","V1"
"1",""
"2","Vielen Dank, Herr Heidenblut."
"3"," — Letzte Redner in dieser Debatte:"
"4"," Stephan Pilsinger für die CDU/CSU-Fraktion."
"5"," Herr Pilsinger."
"6"," Stephan Pilsinger:"
"7","Frau Präsidentin! Meine Damen und Herren! Seit Jahren wird viel über das Thema „Digitalisierung im Gesundheitswesen“ geredet."
"8"," Die Koalition und Jens Spahn reden nicht nur, mit dem heute vorgelegten Digitale-Versorgung-Gesetz wird jetzt auch eine Lösung für dieses wichtige Problem gefunden."
"9","Wir haben diesen Schritt vorbereitet."
"10"," Im Mai dieses Jahres ist das Terminservice- und Versorgungsgesetz in Kraft getreten."
"11"," Damit haben wir die Voraussetzungen für die Einführung einer elektronischen Patientenakte geschaffen."
"12"," Mithilfe dieser Akte können Patientinnen und Patienten sowie die weiteren Beteiligten im Gesundheitswesen einfach, sicher und schnell auf wichtige Behandlungsdaten zurückgreifen."
"13"," Ein wichtiger Punkt für die Akzeptanz einer solchen digitalen Akte ist dabei:"
"14"," Die Kontrolle über die Daten bleibt stets bei den Patientinnen und Patienten selbst."
"15"," Unser Ziel ist es, den Umgang mit der digitalen Akte Alltag werden zu lassen."
"16"," Deshalb ist sie auch ohne den Einsatz der elektronischen Gesundheitskarte jederzeit und an jedem Ort mit dem Smartphone oder dem Tablet erreichbar."
"17"," Mit der Einführung der elektronischen Patientenakte verbessern wir die Versorgung der Patientinnen und Patienten in Deutschland entscheidend."
"18"," Sie hilft nicht nur im Notfall, indem sie Rettungskräften und Notärzten den Zugriff auf wichtige Patientendaten ermöglicht."
"19"," Sie kann mehr:"
"20"," Durch einen integrierten elektronischen Medikationsplan warnt sie vor Unverträglichkeiten oder verwaltet Daten aus Gesundheits-Apps."
"21","Liebe Kolleginnen und Kollegen, mit diesem Gesetz handeln wir, weil es notwendig ist."
"22"," Vor allem im Bereich des Gesundheitswesens war der rechtliche Rahmen für das Implementieren digitaler Lösungen und neuer, innovativer Versorgungsformen zu wenig adaptiv und agil."
"23"," Vor dem Hintergrund zunehmender Herausforderungen durch eine alternde Gesellschaft, den Fachkräftemangel in vielen medizinischen Berufen und einer Unterversorgung in struktursch hen Regionen können wir uns eine Vernachlässigung der Digitalisierung in unserem Gesundheitssystem einfach nicht mehr leisten."
"24","Aus diesem Grund schaffen wir mit dem vorliegenden Gesetzentwurf nun endlich die notwendigen Rahmenbedingungen für die Einführung umfassender digitaler Versorgungsstrukturen im deutschen Gesundheitswesen."
"25"," Das Digitale-Versorgung-Gesetz setzt dabei vor allem auf drei wichtige Punkte."
"26","Erstens und am wichtigsten."
"27"," Die Patientinnen und Patienten profitieren."
"28"," Sie erhalten einen gesetzlich geregelten Leistungsanspruch auf digitale Gesundheitsanwendungen, und sie genießen die Vorteile einer stärkeren Einbindung telemedizinischer Anwendungen wie beispielsweise Telekonsilien oder Videosprechstunden."
"29","Zweitens."
"30"," Die Digitalisierung im Gesundheitswesen wird auf weitere Bereiche ausgedehnt."
"31"," Das betrifft vor allem die Pflicht zur Anbindung an die Telematikinfrastruktur."
"32"," Auch Kliniken und Apotheken sollen nun einen verpflichtenden Zugang erhalten."
"33","Drittens."
"34"," Die Förderung digitaler Innovationen im Gesundheitswesen wird in allen Bereichen vorangetrieben."
"35"," So können die Krankenkassen nun erstmals aktiv in die Entwicklung digitaler Projekte investieren."
"36"," Zudem wird der bewährte Innovationsfonds bis 2024 mit 200 Millionen Euro jährlich fortgeführt und darüber hinaus weiterentwickelt."
"37"," Das ist nicht nur im höchsten Maße sinnvoll, das sorgt nicht nur für eine Verbesserung der Qualität und Wirtschaftlichkeit der Versorgung, es ist auch wichtiges Zeichen dafür, dass der Gesetzgeber die Bedeutung der Digitalisierung für das Gesundheitswesen erkannt hat."
"38"," Wir machen damit die Versorgung zukunftsfest."
"39","Mit dem Digitale-Versorgung-Gesetz setzen wir genau das um, worüber jahrelang gesprochen worden ist."
"40"," Wir machen die digitale Innovation zum festen Bestandteil der Regelversorgung."
"41","Vielen Dank.
 Vizepräsidentin Claudia "
